STORE_NUMBER,STORE_NAME,STORE_TYPE_NAME,OPEN_DATE,CITY_NAME,STATE_NAME,TIME_ZONE_NAME,DMA_ID,DMA_NAME,STORE_STATUS,REGION_ID,REGION_NAME,STORE_LIVE_DATE,STORE_FUNCTIONAL_STATUS,AREA_REGION,DISPATCH_GO_LIVE_DATE,DOOR_DASH_GO_LIVE_DATE,DOOR_DASH_MARKUP_GO_LIVE_DATE,STORE_CONCEPT_NAME,UBER_EATS_MARKUP_DATE
2,TX2,Franchise,09-05-1998,IRVING,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,09-05-1998,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
5,TX5,Franchise,22-08-1998,DALLAS,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,22-08-1998,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
7,TX7,Franchise,14-11-1998,ARLINGTON,Texas,Central,623.0,DALLAS-FT. WORTH,Inactive,1.0,Southwest,14-11-1998,Transfer,DALLAS-FT. WORTH,,,14-11-1998,,14-11-1998
16,LA16,Franchise,29-04-2000,WEST MONROE,Louisiana,Central,628.0,MONROE-EL DORADO,Active,2.0,Southeast,29-04-2000,Operational,MONROE-EL DORADO,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
27,TX27,Franchise,11-06-2001,DALLAS,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,11-06-2001,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
31,OK31,Franchise,18-07-2001,OKLAHOMA CITY,Oklahoma,Central,650.0,OKLAHOMA CITY,Active,1.0,Southwest,18-07-2001,Operational,OKLAHOMA CITY,13-11-2019,13-11-2019,27-09-2020,Original,18-07-2001
39,IL39,Franchise,28-11-2001,DECATUR,Illinois,Central,648.0,CHAMPAIGN&SPRNGFLD-DECATUR,Active,3.0,North,28-11-2001,Operational,CHAMPAIGN&SPRNGFLD-DECATUR,28-08-2019,28-08-2019,27-09-2020,Original,20-07-2022
51,TX51,Franchise,30-03-2002,WATAUGA,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,30-03-2002,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
52,TX52,Franchise,06-04-2002,HOUSTON,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,06-04-2002,Operational,HOUSTON,28-11-2018,28-11-2018,27-09-2020,Original,20-07-2022
61,TX61,Franchise,29-06-2002,CEDAR HILL,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,29-06-2002,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
62,TX62,Franchise,18-07-2002,ODESSA,Texas,Central,633.0,ODESSA-MIDLAND,Active,1.0,Southwest,18-07-2002,Operational,ODESSA-MIDLAND,13-11-2019,13-11-2019,27-09-2020,Original,20-07-2022
64,OK64,Franchise,25-07-2002,TULSA,Oklahoma,Central,671.0,TULSA,Active,1.0,Southwest,25-07-2002,Operational,TULSA,13-11-2019,13-11-2019,27-09-2020,Original,20-07-2022
72,TX72,Corporate,30-08-2002,LAKE WORTH,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,30-08-2002,Operational,DALLAS-FT. WORTH,25-04-2019,25-04-2019,27-09-2020,Original,20-07-2022
78,CO78,Franchise,25-10-2002,COLORADO SPRINGS,Colorado,Mountain,752.0,COLORADO SPRINGS-PUEBLO,Active,4.0,West,25-10-2002,Operational,COLORADO SPRINGS-PUEBLO,12-09-2018,12-09-2018,27-09-2020,Original,20-07-2022
94,CO94,Franchise,29-01-2003,AURORA,Colorado,Mountain,751.0,DENVER,Active,4.0,West,29-01-2003,Operational,DENVER,12-09-2018,12-09-2018,27-09-2020,Original,20-07-2022
101,GA101,Franchise,12-03-2003,AUGUSTA,Georgia,Eastern,520.0,AUGUSTA-AIKEN,Active,2.0,Southeast,12-03-2003,Operational,AUGUSTA-AIKEN,18-09-2019,18-09-2019,27-09-2020,Original,20-07-2022
107,LA107,Franchise,06-06-2003,MONROE,Louisiana,Central,628.0,MONROE-EL DORADO,Active,2.0,Southeast,06-06-2003,Operational,MONROE-EL DORADO,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
109,LA109,Franchise,16-06-2003,SHREVEPORT,Louisiana,Central,612.0,SHREVEPORT,Active,2.0,Southeast,16-06-2003,Operational,SHREVEPORT,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
123,TX123,Franchise,17-09-2003,WICHITA FALLS,Texas,Central,627.0,WICHITA FALLS & LAWTON,Active,1.0,Southwest,17-09-2003,Operational,WICHITA FALLS & LAWTON,13-11-2019,13-11-2019,27-09-2020,Original,20-07-2022
127,TN127,Franchise,05-10-2003,CORDOVA,Tennessee,Central,640.0,MEMPHIS,Active,2.0,Southeast,05-10-2003,Operational,MEMPHIS,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
133,LA133,Franchise,27-10-2003,LAFAYETTE,Louisiana,Central,642.0,"LAFAYETTE, LA",Active,2.0,Southeast,27-10-2003,Operational,"LAFAYETTE, LA",11-12-2019,11-12-2019,27-09-2020,Original,27-10-2003
137,CA137,Franchise,26-11-2003,INGLEWOOD,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,26-11-2003,Operational,LOS ANGELES,14-11-2018,14-11-2018,06-09-2020,Original,20-07-2022
144,AR144,Franchise,27-12-2003,LITTLE ROCK,Arkansas,Central,693.0,LITTLE ROCK-PINE BLUFF,Active,2.0,Southeast,27-12-2003,Operational,LITTLE ROCK-PINE BLUFF,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
150,TX150,Franchise,17-01-2004,LAREDO,Texas,Central,749.0,LAREDO,Active,1.0,Southwest,17-01-2004,Operational,LAREDO,13-11-2019,13-11-2019,27-09-2020,Original,17-01-2004
153,TX153,Franchise,31-01-2004,HOUSTON,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,31-01-2004,Operational,HOUSTON,28-11-2018,03-01-2016,27-09-2020,Original,20-07-2022
155,OH155,Franchise,04-02-2004,MENTOR ON THE LAKE,Ohio,Eastern,510.0,CLEVELAND-AKRON (CANTON),Active,3.0,North,04-02-2004,Operational,CLEVELAND-AKRON (CANTON),28-08-2019,28-08-2019,27-09-2020,Original,20-07-2022
158,TX158,Franchise,17-02-2004,HOUSTON,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,17-02-2004,Operational,HOUSTON,28-11-2018,28-11-2018,27-09-2020,Original,17-02-2004
167,CO167,Franchise,02-04-2004,DENVER,Colorado,Mountain,751.0,DENVER,Active,4.0,West,02-04-2004,Operational,DENVER,12-09-2018,12-09-2018,27-09-2020,Original,20-07-2022
171,CO171,Franchise,28-04-2004,AURORA,Colorado,Mountain,751.0,DENVER,Active,4.0,West,28-04-2004,Operational,DENVER,12-09-2018,12-09-2018,27-09-2020,Original,20-07-2022
182,MS182,Franchise,25-08-2004,JACKSON,Mississippi,Central,718.0,"JACKSON, MS",Active,2.0,Southeast,25-08-2004,Operational,"JACKSON, MS",16-10-2019,16-10-2019,27-09-2020,Original,20-07-2022
202,TX202,Franchise,31-12-2004,HOUSTON,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,31-12-2004,Operational,HOUSTON,28-11-2018,28-11-2018,27-09-2020,Original,20-07-2022
205,FL205,Franchise,12-01-2005,LAUDERHILL,Florida,Eastern,528.0,MIAMI-FT. LAUDERDALE,Active,2.0,Southeast,12-01-2005,Operational,MIAMI-FT. LAUDERDALE,20-03-2019,20-03-2019,27-09-2020,Original,20-07-2022
207,TX207,Franchise,20-01-2005,SUGAR LAND,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,20-01-2005,Operational,HOUSTON,28-11-2018,01-11-2015,27-09-2020,Original,20-07-2022
219,AZ219,Franchise,03-03-2005,TUCSON,Arizona,Mountain (DST not observed),789.0,TUCSON (SIERRA VISTA),Active,1.0,Southwest,03-03-2005,Operational,TUCSON (SIERRA VISTA),27-02-2019,27-02-2019,27-09-2020,Original,20-07-2022
234,TX234,Franchise,27-05-2005,HOUSTON,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,05-07-2005,Operational,HOUSTON,28-11-2018,28-11-2018,27-09-2020,Original,06-07-2022
237,CA237,Franchise,16-07-2005,RANCHO SANTA MARGARITA,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,16-07-2005,Operational,LOS ANGELES,07-11-2018,02-08-2015,27-09-2020,Original,20-07-2022
238,MD238,Franchise,18-07-2005,ROCKVILLE,Maryland,Eastern,511.0,"WASHINGTON, DC (HAGRSTWN)",Active,2.0,Southeast,18-07-2005,Operational,"WASHINGTON, DC (HAGRSTWN)",08-05-2019,08-05-2019,27-09-2020,Original,20-07-2022
245,TX245,Franchise,08-09-2005,WAXAHACHIE,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,08-09-2005,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
249,TX249,Franchise,19-09-2005,ALLEN,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,19-09-2005,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,06-07-2022
250,TX250,Franchise,28-09-2005,HOUSTON,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,28-09-2005,Operational,HOUSTON,28-11-2018,02-08-2015,27-09-2020,Original,20-07-2022
251,TX251,Franchise,04-10-2005,MISSION,Texas,Central,636.0,HARLINGEN-WSLCO-BRNSVL-MCA,Active,1.0,Southwest,04-10-2005,Operational,HARLINGEN-WSLCO-BRNSVL-MCA,18-09-2019,18-09-2019,27-09-2020,Original,04-10-2005
254,TX254,Franchise,25-10-2005,SAN ANTONIO,Texas,Central,641.0,SAN ANTONIO,Active,1.0,Southwest,25-10-2005,Operational,SAN ANTONIO,08-05-2019,08-05-2019,27-09-2020,Original,20-07-2022
257,KY257,Franchise,09-11-2005,PADUCAH,Kentucky,Central,632.0,PADUCAH-CAPE GIRARD-HARSBG,Active,2.0,Southeast,09-11-2005,Operational,PADUCAH-CAPE GIRARD-HARSBG,13-11-2019,13-11-2019,27-09-2020,Original,20-07-2022
261,TX261,Franchise,31-01-2006,WESLACO,Texas,Central,636.0,HARLINGEN-WSLCO-BRNSVL-MCA,Active,1.0,Southwest,31-01-2006,Operational,HARLINGEN-WSLCO-BRNSVL-MCA,18-09-2019,18-09-2019,27-09-2020,Original,20-07-2022
271,AZ271,Franchise,27-10-2006,PHOENIX,Arizona,Mountain (DST not observed),753.0,PHOENIX (PRESCOTT),Active,1.0,Southwest,27-10-2006,Operational,PHOENIX (PRESCOTT),27-02-2019,27-02-2019,27-09-2020,Original,20-07-2022
287,TX287,Franchise,14-07-2006,BROWNSVILLE,Texas,Central,636.0,HARLINGEN-WSLCO-BRNSVL-MCA,Active,1.0,Southwest,14-07-2006,Operational,HARLINGEN-WSLCO-BRNSVL-MCA,18-09-2019,18-09-2019,27-09-2020,Original,20-07-2022
295,CA295,Franchise,26-04-2006,MONROVIA,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,26-04-2006,Operational,LOS ANGELES,14-11-2018,14-11-2018,27-09-2020,Original,20-07-2022
296,CA296,Franchise,24-04-2006,LAWNDALE,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,24-04-2006,Operational,LOS ANGELES,14-11-2018,03-01-2016,27-09-2020,Original,20-07-2022
298,TX298,Corporate,16-04-2006,FORT WORTH,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,16-04-2006,Operational,DALLAS-FT. WORTH,25-04-2019,25-04-2019,27-09-2020,Original,20-07-2022
302,CA302,Franchise,07-05-2007,SALINAS,California,Pacific,828.0,MONTEREY-SALINAS,Active,4.0,West,07-05-2007,Operational,MONTEREY-SALINAS,11-12-2019,11-12-2019,27-09-2020,Original,07-05-2007
308,CA308,Franchise,04-07-2006,BAKERSFIELD,California,Pacific,800.0,BAKERSFIELD,Active,4.0,West,04-07-2006,Operational,BAKERSFIELD,13-11-2019,13-11-2019,27-09-2020,Original,20-07-2022
315,CA315,Franchise,09-08-2006,SANTA CLARITA,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,09-08-2006,Operational,LOS ANGELES,14-11-2018,14-11-2018,27-09-2020,Original,09-08-2006
320,AR320,Franchise,06-11-2006,CONWAY,Arkansas,Central,693.0,LITTLE ROCK-PINE BLUFF,Active,2.0,Southeast,06-11-2006,Operational,LITTLE ROCK-PINE BLUFF,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
323,TX323,Franchise,10-11-2006,CYPRESS,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,10-11-2006,Operational,HOUSTON,28-11-2018,28-11-2018,27-09-2020,Original,20-07-2022
340,TX340,Franchise,07-02-2008,ROWLETT,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,07-02-2008,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
345,TX345,Franchise,01-05-2007,MCKINNEY,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,01-05-2007,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
353,TX353,Franchise,05-09-2007,HUNTSVILLE,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,05-09-2007,Operational,HOUSTON,15-04-2020,16-04-2020,27-09-2020,Original,20-07-2022
361,TX361,Franchise,26-09-2007,KINGSVILLE,Texas,Central,600.0,CORPUS CHRISTI,Active,1.0,Southwest,26-09-2007,Operational,CORPUS CHRISTI,11-03-2020,11-03-2020,27-09-2020,Original,26-09-2007
363,CA363,Franchise,10-10-2007,SACRAMENTO,California,Pacific,862.0,SACRAMNTO-STKTON-MODESTO,Active,4.0,West,10-10-2007,Operational,SACRAMNTO-STKTON-MODESTO,13-03-2019,13-03-2019,27-09-2020,Original,20-07-2022
372,TX372,Franchise,07-11-2007,MISSION,Texas,Central,636.0,HARLINGEN-WSLCO-BRNSVL-MCA,Active,1.0,Southwest,07-11-2007,Operational,HARLINGEN-WSLCO-BRNSVL-MCA,16-10-2019,16-10-2019,27-09-2020,Original,20-07-2022
373,AZ373,Franchise,19-05-2008,TUCSON,Arizona,Mountain (DST not observed),789.0,TUCSON (SIERRA VISTA),Active,1.0,Southwest,19-05-2008,Operational,TUCSON (SIERRA VISTA),27-02-2019,27-02-2019,27-09-2020,Original,20-07-2022
376,IL376,Franchise,05-03-2008,EVANSTON,Illinois,Central,602.0,CHICAGO,Active,3.0,North,05-03-2008,Operational,CHICAGO,13-02-2018,13-02-2018,27-09-2020,Original,28-04-2021
380,TX380,Franchise,19-12-2007,SAN ANTONIO,Texas,Central,641.0,SAN ANTONIO,Active,1.0,Southwest,19-12-2007,Operational,SAN ANTONIO,08-05-2019,08-05-2019,27-09-2020,Original,20-07-2022
386,CA386,Franchise,23-03-2008,GLENDORA,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,23-03-2008,Operational,LOS ANGELES,14-11-2018,14-11-2018,27-09-2020,Original,20-07-2022
387,CA387,Franchise,21-08-2008,RIVERSIDE,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,21-08-2008,Operational,LOS ANGELES,31-10-2018,31-10-2018,27-09-2020,Original,21-08-2008
389,FL389,Franchise,17-12-2008,MIAMI,Florida,Eastern,528.0,MIAMI-FT. LAUDERDALE,Active,2.0,Southeast,17-12-2008,Operational,MIAMI-FT. LAUDERDALE,28-03-2019,28-03-2019,27-09-2020,Original,20-07-2022
391,TX391,Franchise,08-05-2008,DALLAS,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,08-05-2008,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,06-07-2022
392,CA392,Franchise,08-02-2006,LONG BEACH,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,08-02-2006,Operational,LOS ANGELES,07-11-2018,07-11-2018,27-09-2020,Original,20-07-2022
407,TX407,Franchise,27-12-2008,ALAMO,Texas,Central,636.0,HARLINGEN-WSLCO-BRNSVL-MCA,Active,1.0,Southwest,27-12-2008,Operational,HARLINGEN-WSLCO-BRNSVL-MCA,16-10-2019,16-10-2019,27-09-2020,Original,20-07-2022
411,TX411,Franchise,15-07-2008,CEDAR PARK,Texas,Central,635.0,AUSTIN,Active,1.0,Southwest,15-07-2008,Operational,AUSTIN,27-11-2017,27-11-2017,27-09-2020,Original,06-07-2022
424,CA424,Franchise,30-07-2008,SAN CARLOS,California,Pacific,807.0,SAN FRANCISCO-OAK-SAN JOSE,Active,4.0,West,30-07-2008,Operational,SAN FRANCISCO-OAK-SAN JOSE,13-03-2019,13-03-2019,27-09-2020,Original,30-07-2008
431,CA431,Franchise,15-10-2008,SAN JOSE,California,Pacific,807.0,SAN FRANCISCO-OAK-SAN JOSE,Active,4.0,West,15-10-2008,Operational,SAN FRANCISCO-OAK-SAN JOSE,13-03-2019,30-08-2018,23-08-2020,Original,20-07-2022
435,CA435,Franchise,03-10-2008,SANTA CLARITA,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,03-10-2008,Operational,LOS ANGELES,14-11-2018,14-11-2018,27-09-2020,Original,03-10-2008
441,TX441,Franchise,10-09-2008,SEGUIN,Texas,Central,641.0,SAN ANTONIO,Active,1.0,Southwest,10-09-2008,Operational,SAN ANTONIO,08-05-2019,08-05-2019,27-09-2020,Original,20-07-2022
442,TX442,Franchise,24-09-2008,PORT ISABEL,Texas,Central,636.0,HARLINGEN-WSLCO-BRNSVL-MCA,Active,1.0,Southwest,24-09-2008,Operational,HARLINGEN-WSLCO-BRNSVL-MCA,21-10-2022,15-10-2022,27-09-2020,Original,20-07-2022
443,CA443,Franchise,05-12-2008,LOS ANGELES,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,05-12-2008,Operational,LOS ANGELES,07-11-2018,07-11-2018,27-09-2020,Original,20-07-2022
453,MS453,Franchise,27-12-2008,JACKSON,Mississippi,Central,718.0,"JACKSON, MS",Active,2.0,Southeast,27-12-2008,Operational,"JACKSON, MS",16-10-2019,16-10-2019,27-09-2020,Original,20-07-2022
458,CA458,Franchise,27-05-2009,VAN NUYS,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,27-05-2009,Operational,LOS ANGELES,14-11-2018,07-06-2015,27-09-2020,Original,27-05-2009
465,CA465,Franchise,22-04-2009,LA PUENTE,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,22-04-2009,Operational,LOS ANGELES,14-11-2018,14-11-2018,27-09-2020,Original,20-07-2022
469,SC469,Franchise,01-04-2009,SPARTANBURG,South Carolina,Eastern,567.0,GREENVLL-SPART-ASHEVLL-AND,Active,2.0,Southeast,01-04-2009,Operational,GREENVLL-SPART-ASHEVLL-AND,18-09-2019,18-09-2019,27-09-2020,Original,01-04-2009
484,TX484,Franchise,29-07-2009,LEAGUE CITY,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,29-07-2009,Operational,HOUSTON,28-11-2018,28-11-2018,27-09-2020,Original,20-07-2022
488,NM488,Franchise,14-08-2009,ALBUQUERQUE,New Mexico,Mountain,790.0,ALBUQUERQUE-SANTA FE,Active,1.0,Southwest,14-08-2009,Operational,ALBUQUERQUE-SANTA FE,28-08-2019,28-08-2019,27-09-2020,Original,20-07-2022
494,CA494,Franchise,18-08-2010,LOS ANGELES,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,18-08-2010,Operational,LOS ANGELES,07-11-2018,07-11-2018,27-09-2020,Original,20-07-2022
500,FL500,Franchise,30-06-2010,HIALEAH,Florida,Eastern,528.0,MIAMI-FT. LAUDERDALE,Active,2.0,Southeast,30-06-2010,Operational,MIAMI-FT. LAUDERDALE,20-03-2019,20-03-2019,27-09-2020,Original,20-07-2022
509,TX509,Franchise,27-10-2009,BAYTOWN,Texas,Central,618.0,HOUSTON,Active,1.0,Southwest,27-10-2009,Operational,HOUSTON,28-11-2018,28-11-2018,27-09-2020,Original,06-07-2022
511,CA511,Franchise,14-05-2010,GARDENA,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,14-05-2010,Operational,LOS ANGELES,07-11-2018,03-01-2016,27-09-2020,Original,20-07-2022
514,MS514,Franchise,26-03-2010,CLINTON,Mississippi,Central,718.0,"JACKSON, MS",Active,2.0,Southeast,26-03-2010,Operational,"JACKSON, MS",16-10-2019,16-10-2019,27-09-2020,Original,20-07-2022
516,CA516,Franchise,04-08-2010,FRESNO,California,Pacific,866.0,FRESNO-VISALIA,Active,4.0,West,04-08-2010,Operational,FRESNO-VISALIA,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
526,CA526,Franchise,08-04-2010,SAN JOSE,California,Pacific,807.0,SAN FRANCISCO-OAK-SAN JOSE,Active,4.0,West,08-04-2010,Operational,SAN FRANCISCO-OAK-SAN JOSE,13-03-2019,07-06-2015,27-09-2020,Original,08-04-2010
534,TX534,Corporate,27-05-2010,DESOTO,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,27-05-2010,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
537,IL537,Franchise,10-11-2010,CHICAGO,Illinois,Central,602.0,CHICAGO,Active,3.0,North,10-11-2010,Operational,CHICAGO,30-10-2017,05-07-2015,27-09-2020,Original,28-04-2021
538,TX538,Franchise,02-09-2010,DENTON,Texas,Central,623.0,DALLAS-FT. WORTH,Active,1.0,Southwest,02-09-2010,Operational,DALLAS-FT. WORTH,17-04-2019,17-04-2019,27-09-2020,Original,20-07-2022
545,CA545,Franchise,18-09-2010,SAN JOSE,California,Pacific,807.0,SAN FRANCISCO-OAK-SAN JOSE,Active,4.0,West,18-09-2010,Operational,SAN FRANCISCO-OAK-SAN JOSE,13-03-2019,31-01-2016,27-09-2020,Original,20-07-2022
551,IL551,Franchise,17-12-2010,CHICAGO,Illinois,Central,602.0,CHICAGO,Active,3.0,North,17-12-2010,Operational,CHICAGO,30-10-2017,30-10-2017,27-09-2020,Original,04-05-2021
552,IL552,Franchise,04-11-2010,SOUTH HOLLAND,Illinois,Central,602.0,CHICAGO,Active,3.0,North,04-11-2010,Operational,CHICAGO,24-09-2018,26-09-2018,27-09-2020,Original,19-05-2021
573,CA573,Franchise,12-07-2011,IRVINE,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,12-07-2011,Operational,LOS ANGELES,07-11-2018,07-11-2018,27-09-2020,Original,20-07-2022
576,TX576,Franchise,26-07-2011,NEW BRAUNFELS,Texas,Central,641.0,SAN ANTONIO,Active,1.0,Southwest,26-07-2011,Operational,SAN ANTONIO,08-05-2019,08-05-2019,27-09-2020,Original,26-07-2011
577,TX577,Franchise,12-12-2011,BROWNSVILLE,Texas,Central,636.0,HARLINGEN-WSLCO-BRNSVL-MCA,Active,1.0,Southwest,12-12-2011,Operational,HARLINGEN-WSLCO-BRNSVL-MCA,18-09-2019,18-09-2019,27-09-2020,Original,20-07-2022
578,CO578,Franchise,18-11-2011,BROOMFIELD,Colorado,Mountain,751.0,DENVER,Active,4.0,West,18-11-2011,Operational,DENVER,12-09-2018,12-09-2018,27-09-2020,Original,20-07-2022
580,TN580,Franchise,05-10-2011,MEMPHIS,Tennessee,Central,640.0,MEMPHIS,Active,2.0,Southeast,05-10-2011,Operational,MEMPHIS,11-12-2019,11-12-2019,27-09-2020,Original,20-07-2022
584,CA584,Franchise,16-11-2011,LOS ANGELES,California,Pacific,803.0,LOS ANGELES,Active,4.0,West,16-11-2011,Operational,LOS ANGELES,07-11-2018,07-11-2018,27-09-2020,Original,20-07-2022
587,IL587,Franchise,12-01-2012,CHICAGO,Illinois,Central,602.0,CHICAGO,Active,3.0,North,12-01-2012,Operational,CHICAGO,31-10-2017,31-10-2017,27-09-2020,Original,04-05-2021
589,WI589,Franchise,28-12-2011,WEST MILWAUKEE,Wisconsin,Central,617.0,MILWAUKEE,Active,3.0,North,28-12-2011,Operational,MILWAUKEE,28-08-2019,28-08-2019,27-09-2020,Original,06-07-2022
